,Sampling time,Direction
0,0,Straight
12,12,Straight
24,24,Straight
25,25,Straight
49,49,Straight
50,50,Straight
74,74,Straight
75,75,Straight
99,99,Left
100,100,Straight
124,124,Straight
125,125,Straight
149,149,Straight
150,150,Straight
174,174,Straight
175,175,Straight
199,199,Straight
200,200,Straight
224,224,Straight
225,225,Straight
249,249,Straight
250,250,Straight
274,274,Straight
275,275,Straight
299,299,Straight
300,300,Straight
324,324,Straight
325,325,Straight
349,349,Straight
350,350,Straight
374,374,Straight
375,375,Straight
399,399,Straight
400,400,Straight
424,424,Straight
425,425,Straight
449,449,Straight
450,450,Straight
474,474,Straight
475,475,Straight
499,499,Straight
500,500,Left
524,524,Straight
525,525,Straight
549,549,Left
