,Direction
2024-02-25 19:58:35,Straight
2024-02-25 19:58:36,Straight
2024-02-25 19:58:37,Straight
2024-02-25 19:58:38,Straight
2024-02-25 19:58:39,Straight
2024-02-25 19:58:40,Straight
2024-02-25 19:58:41,Straight
2024-02-25 19:58:42,Straight
2024-02-25 19:58:43,Straight
2024-02-25 19:58:44,Straight
2024-02-25 19:58:45,Straight
2024-02-25 19:58:46,Left
2024-02-25 19:58:47,Straight
2024-02-25 19:58:48,Right
2024-02-25 19:58:49,Straight
2024-02-25 19:58:50,Right
2024-02-25 19:58:51,Left
2024-02-25 19:58:52,Right
2024-02-25 19:58:53,Left
2024-02-25 19:58:54,Straight
2024-02-25 19:58:55,Straight
2024-02-25 19:58:56,Straight
2024-02-25 19:58:57,Right
2024-02-25 19:58:58,Left
2024-02-25 19:58:59,Left
2024-02-25 19:59:00,Down
2024-02-25 19:59:01,Down
2024-02-25 19:59:02,Left
2024-02-25 19:59:03,Left
2024-02-25 19:59:04,Left
2024-02-25 19:59:05,Right
2024-02-25 19:59:06,Left
2024-02-25 19:59:07,Left
2024-02-25 19:59:08,Straight
2024-02-25 19:59:09,Straight
2024-02-25 19:59:10,Straight
2024-02-25 19:59:11,Straight
2024-02-25 19:59:12,Left
2024-02-25 19:59:13,Left
2024-02-25 19:59:14,Straight
2024-02-25 19:59:15,Left
2024-02-25 19:59:16,Left
2024-02-25 19:59:17,Left
2024-02-25 19:59:18,Left
2024-02-25 19:59:19,Straight
2024-02-25 19:59:20,Left
2024-02-25 19:59:21,Down
2024-02-25 19:59:22,Down
2024-02-25 19:59:23,Down
2024-02-25 19:59:24,Left
2024-02-25 19:59:25,Left
2024-02-25 19:59:26,Left
2024-02-25 19:59:27,Straight
2024-02-25 19:59:28,Straight
2024-02-25 19:59:29,Straight
2024-02-25 19:59:30,Straight
2024-02-25 19:59:31,Straight
2024-02-25 19:59:32,Straight
2024-02-25 19:59:33,Straight
2024-02-25 19:59:34,Straight
2024-02-25 19:59:35,Straight
2024-02-25 19:59:36,Straight
2024-02-25 19:59:37,Straight
2024-02-25 19:59:38,Straight
2024-02-25 19:59:39,Straight
2024-02-25 19:59:40,Straight
2024-02-25 19:59:41,Down
2024-02-25 19:59:42,Straight
2024-02-25 19:59:43,Straight
2024-02-25 19:59:44,Straight
2024-02-25 19:59:45,Straight
2024-02-25 19:59:46,Straight
2024-02-25 19:59:47,Straight
2024-02-25 19:59:48,Straight
2024-02-25 19:59:49,Straight
2024-02-25 19:59:50,Straight
2024-02-25 19:59:51,Straight
2024-02-25 19:59:52,Straight
2024-02-25 19:59:53,Straight
2024-02-25 19:59:54,Straight
2024-02-25 19:59:55,Straight
2024-02-25 19:59:56,Straight
2024-02-25 19:59:57,Straight
2024-02-25 19:59:58,Straight
2024-02-25 19:59:59,Straight
2024-02-25 20:00:00,Straight
2024-02-25 20:00:01,Straight
2024-02-25 20:00:02,Down
2024-02-25 20:00:03,Straight
2024-02-25 20:00:04,Straight
2024-02-25 20:00:05,Straight
2024-02-25 20:00:06,Straight
2024-02-25 20:00:07,Down
2024-02-25 20:00:08,Left
2024-02-25 20:00:09,Straight
2024-02-25 20:00:10,Down
2024-02-25 20:00:11,Straight
2024-02-25 20:00:12,Straight
2024-02-25 20:00:13,Straight
2024-02-25 20:00:14,Straight
2024-02-25 20:00:15,Straight
2024-02-25 20:00:16,Straight
2024-02-25 20:00:17,Straight
2024-02-25 20:00:18,Left
2024-02-25 20:00:19,Left
2024-02-25 20:00:20,Straight
2024-02-25 20:00:21,Straight
2024-02-25 20:00:22,Straight
2024-02-25 20:00:23,Straight
2024-02-25 20:00:24,Straight
2024-02-25 20:00:25,Straight
2024-02-25 20:00:26,Straight
2024-02-25 20:00:27,Left
2024-02-25 20:00:28,Straight
2024-02-25 20:00:29,Straight
2024-02-25 20:00:30,Straight
2024-02-25 20:00:31,Straight
2024-02-25 20:00:32,Straight
2024-02-25 20:00:33,Straight
2024-02-25 20:00:34,Straight
2024-02-25 20:00:35,Straight
2024-02-25 20:00:36,Straight
2024-02-25 20:00:37,Straight
2024-02-25 20:00:38,Straight
2024-02-25 20:00:39,Straight
2024-02-25 20:00:40,Straight
2024-02-25 20:00:41,Straight
2024-02-25 20:00:42,Straight
2024-02-25 20:00:43,Straight
2024-02-25 20:00:44,Straight
2024-02-25 20:00:45,Straight
2024-02-25 20:00:46,Straight
2024-02-25 20:00:47,Straight
2024-02-25 20:00:48,Straight
2024-02-25 20:00:49,Straight
2024-02-25 20:00:50,Straight
2024-02-25 20:00:51,Right
2024-02-25 20:00:52,Straight
2024-02-25 20:00:53,Straight
2024-02-25 20:00:54,Straight
2024-02-25 20:00:55,Straight
2024-02-25 20:00:56,Straight
2024-02-25 20:00:57,Straight
2024-02-25 20:00:58,Straight
2024-02-25 20:00:59,Straight
2024-02-25 20:01:00,Straight
2024-02-25 20:01:01,Straight
2024-02-25 20:01:02,Straight
2024-02-25 20:01:03,Straight
2024-02-25 20:01:04,Straight
2024-02-25 20:01:05,Straight
2024-02-25 20:01:06,Straight
2024-02-25 20:01:07,Straight
2024-02-25 20:01:08,Straight
2024-02-25 20:01:09,Straight
2024-02-25 20:01:10,Straight
2024-02-25 20:01:11,Straight
2024-02-25 20:01:12,Left
2024-02-25 20:01:13,Straight
2024-02-25 20:01:14,Straight
2024-02-25 20:01:15,Straight
2024-02-25 20:01:16,Straight
2024-02-25 20:01:17,Straight
2024-02-25 20:01:18,Straight
2024-02-25 20:01:19,Straight
2024-02-25 20:01:20,Straight
2024-02-25 20:01:21,Straight
2024-02-25 20:01:22,Straight
2024-02-25 20:01:23,Left
2024-02-25 20:01:24,Straight
2024-02-25 20:01:25,Straight
2024-02-25 20:01:26,Straight
2024-02-25 20:01:27,Straight
2024-02-25 20:01:28,Straight
2024-02-25 20:01:29,Straight
2024-02-25 20:01:30,Straight
2024-02-25 20:01:31,Straight
2024-02-25 20:01:32,Straight
2024-02-25 20:01:33,Straight
2024-02-25 20:01:34,Straight
2024-02-25 20:01:35,Straight
2024-02-25 20:01:36,Straight
2024-02-25 20:01:37,Left
2024-02-25 20:01:38,Straight
2024-02-25 20:01:39,Straight
2024-02-25 20:01:40,Straight
2024-02-25 20:01:41,Straight
2024-02-25 20:01:42,Straight
2024-02-25 20:01:43,Left
2024-02-25 20:01:44,Straight
2024-02-25 20:01:45,Straight
2024-02-25 20:01:46,Straight
2024-02-25 20:01:47,Straight
2024-02-25 20:01:48,Straight
2024-02-25 20:01:49,Straight
2024-02-25 20:01:50,Straight
2024-02-25 20:01:51,Straight
2024-02-25 20:01:52,Straight
2024-02-25 20:01:53,Straight
2024-02-25 20:01:54,Straight
2024-02-25 20:01:55,Left
2024-02-25 20:01:56,Straight
2024-02-25 20:01:57,Straight
2024-02-25 20:01:58,Straight
2024-02-25 20:01:59,Straight
2024-02-25 20:02:00,Straight
2024-02-25 20:02:01,Straight
2024-02-25 20:02:02,Straight
2024-02-25 20:02:03,Straight
2024-02-25 20:02:04,Straight
2024-02-25 20:02:05,Straight
2024-02-25 20:02:06,Straight
2024-02-25 20:02:07,Straight
2024-02-25 20:02:08,Straight
2024-02-25 20:02:09,Straight
2024-02-25 20:02:10,Straight
2024-02-25 20:02:11,Straight
2024-02-25 20:02:12,Straight
2024-02-25 20:02:13,Left
2024-02-25 20:02:14,Left
2024-02-25 20:02:15,Straight
2024-02-25 20:02:16,Straight
2024-02-25 20:02:17,Straight
2024-02-25 20:02:18,Straight
2024-02-25 20:02:19,Straight
2024-02-25 20:02:20,Straight
2024-02-25 20:02:21,Left
2024-02-25 20:02:22,Left
2024-02-25 20:02:23,Straight
2024-02-25 20:02:24,Straight
2024-02-25 20:02:25,Right
2024-02-25 20:02:26,Left
2024-02-25 20:02:27,Left
2024-02-25 20:02:28,Left
2024-02-25 20:02:29,Left
2024-02-25 20:02:30,Straight
2024-02-25 20:02:31,Straight
2024-02-25 20:02:32,Straight
2024-02-25 20:02:33,Straight
2024-02-25 20:02:34,Straight
2024-02-25 20:02:35,Straight
2024-02-25 20:02:36,Straight
2024-02-25 20:02:37,Straight
2024-02-25 20:02:38,Straight
2024-02-25 20:02:39,Straight
2024-02-25 20:02:40,Straight
2024-02-25 20:02:41,Straight
2024-02-25 20:02:42,Straight
2024-02-25 20:02:43,Straight
2024-02-25 20:02:44,Straight
2024-02-25 20:02:45,Straight
2024-02-25 20:02:46,Straight
2024-02-25 20:02:47,Straight
2024-02-25 20:02:48,Straight
2024-02-25 20:02:49,Straight
2024-02-25 20:02:50,Straight
2024-02-25 20:02:51,Straight
2024-02-25 20:02:52,Straight
2024-02-25 20:02:53,Straight
2024-02-25 20:02:54,Straight
2024-02-25 20:02:55,Left
2024-02-25 20:02:56,Straight
2024-02-25 20:02:57,Straight
2024-02-25 20:02:58,Straight
2024-02-25 20:02:59,Straight
2024-02-25 20:03:00,Straight
2024-02-25 20:03:01,Straight
2024-02-25 20:03:02,Straight
2024-02-25 20:03:03,Straight
2024-02-25 20:03:04,Left
2024-02-25 20:03:05,Straight
2024-02-25 20:03:06,Straight
2024-02-25 20:03:07,Straight
2024-02-25 20:03:08,Left
2024-02-25 20:03:09,Left
2024-02-25 20:03:10,Left
2024-02-25 20:03:11,Straight
2024-02-25 20:03:12,Straight
2024-02-25 20:03:13,Straight
2024-02-25 20:03:14,Straight
2024-02-25 20:03:15,Straight
2024-02-25 20:03:16,Straight
2024-02-25 20:03:17,Straight
2024-02-25 20:03:18,Straight
2024-02-25 20:03:19,Left
2024-02-25 20:03:20,Straight
2024-02-25 20:03:21,Straight
2024-02-25 20:03:22,Straight
2024-02-25 20:03:23,Straight
2024-02-25 20:03:24,Straight
2024-02-25 20:03:25,Straight
2024-02-25 20:03:26,Straight
2024-02-25 20:03:27,Left
2024-02-25 20:03:28,Straight
2024-02-25 20:03:29,Straight
2024-02-25 20:03:30,Left
2024-02-25 20:03:31,Left
2024-02-25 20:03:32,Straight
2024-02-25 20:03:33,Left
2024-02-25 20:03:34,Straight
2024-02-25 20:03:35,Straight
2024-02-25 20:03:36,Straight
2024-02-25 20:03:37,Straight
2024-02-25 20:03:38,Left
2024-02-25 20:03:39,Left
2024-02-25 20:03:40,Straight
2024-02-25 20:03:41,Straight
2024-02-25 20:03:42,Straight
2024-02-25 20:03:43,Straight
2024-02-25 20:03:44,Straight
2024-02-25 20:03:45,Straight
2024-02-25 20:03:46,Straight
2024-02-25 20:03:47,Straight
2024-02-25 20:03:48,Straight
2024-02-25 20:03:49,Straight
2024-02-25 20:03:50,Left
2024-02-25 20:03:51,Straight
2024-02-25 20:03:52,Straight
2024-02-25 20:03:53,Straight
2024-02-25 20:03:54,Straight
2024-02-25 20:03:55,Straight
2024-02-25 20:03:56,Straight
2024-02-25 20:03:57,Straight
2024-02-25 20:03:58,Straight
2024-02-25 20:03:59,Left
2024-02-25 20:04:00,Straight
2024-02-25 20:04:01,Straight
2024-02-25 20:04:02,Straight
2024-02-25 20:04:03,Left
2024-02-25 20:04:04,Straight
2024-02-25 20:04:05,Straight
2024-02-25 20:04:06,Straight
2024-02-25 20:04:07,Straight
2024-02-25 20:04:08,Straight
2024-02-25 20:04:09,Straight
2024-02-25 20:04:10,Straight
2024-02-25 20:04:11,Left
2024-02-25 20:04:12,Straight
2024-02-25 20:04:13,Straight
2024-02-25 20:04:14,Left
2024-02-25 20:04:15,Straight
2024-02-25 20:04:16,Straight
2024-02-25 20:04:17,Straight
2024-02-25 20:04:18,Straight
2024-02-25 20:04:19,Straight
2024-02-25 20:04:20,Straight
2024-02-25 20:04:21,Straight
2024-02-25 20:04:22,Straight
2024-02-25 20:04:23,Straight
2024-02-25 20:04:24,Left
2024-02-25 20:04:25,Straight
2024-02-25 20:04:26,Left
2024-02-25 20:04:27,Straight
2024-02-25 20:04:28,Straight
2024-02-25 20:04:29,Straight
2024-02-25 20:04:30,Left
2024-02-25 20:04:31,Straight
2024-02-25 20:04:32,Straight
2024-02-25 20:04:33,Straight
2024-02-25 20:04:34,Straight
2024-02-25 20:04:35,Straight
2024-02-25 20:04:36,Straight
2024-02-25 20:04:37,Straight
2024-02-25 20:04:38,Straight
2024-02-25 20:04:39,Straight
2024-02-25 20:04:40,Straight
2024-02-25 20:04:41,Straight
2024-02-25 20:04:42,Straight
2024-02-25 20:04:43,Straight
2024-02-25 20:04:44,Straight
2024-02-25 20:04:45,Straight
2024-02-25 20:04:46,Left
2024-02-25 20:04:47,Straight
2024-02-25 20:04:48,Straight
2024-02-25 20:04:49,Straight
2024-02-25 20:04:50,Straight
2024-02-25 20:04:51,Left
2024-02-25 20:04:52,Straight
2024-02-25 20:04:53,Left
2024-02-25 20:04:54,Left
2024-02-25 20:04:55,Left
2024-02-25 20:04:56,Left
2024-02-25 20:04:57,Straight
2024-02-25 20:04:58,Straight
2024-02-25 20:04:59,Straight
2024-02-25 20:05:00,Left
2024-02-25 20:05:01,Straight
2024-02-25 20:05:02,Left
2024-02-25 20:05:03,Straight
2024-02-25 20:05:04,Straight
2024-02-25 20:05:05,Straight
2024-02-25 20:05:06,Straight
2024-02-25 20:05:07,Straight
2024-02-25 20:05:08,Straight
2024-02-25 20:05:09,Straight
2024-02-25 20:05:10,Straight
2024-02-25 20:05:11,Straight
2024-02-25 20:05:12,Straight
2024-02-25 20:05:13,Straight
2024-02-25 20:05:14,Straight
2024-02-25 20:05:15,Straight
2024-02-25 20:05:16,Left
2024-02-25 20:05:17,Straight
2024-02-25 20:05:18,Left
2024-02-25 20:05:19,Straight
2024-02-25 20:05:20,Straight
2024-02-25 20:05:21,Straight
2024-02-25 20:05:22,Straight
2024-02-25 20:05:23,Straight
2024-02-25 20:05:24,Straight
2024-02-25 20:05:25,Straight
2024-02-25 20:05:26,Straight
2024-02-25 20:05:27,Straight
2024-02-25 20:05:28,Straight
2024-02-25 20:05:29,Left
2024-02-25 20:05:30,Left
2024-02-25 20:05:31,Left
2024-02-25 20:05:32,Straight
2024-02-25 20:05:33,Right
2024-02-25 20:05:34,Straight
2024-02-25 20:05:35,Straight
2024-02-25 20:05:36,Straight
2024-02-25 20:05:37,Straight
2024-02-25 20:05:38,Left
2024-02-25 20:05:39,Left
2024-02-25 20:05:40,Straight
2024-02-25 20:05:41,Straight
2024-02-25 20:05:42,Straight
2024-02-25 20:05:43,Straight
2024-02-25 20:05:44,Straight
2024-02-25 20:05:45,Left
2024-02-25 20:05:46,Left
2024-02-25 20:05:47,Left
2024-02-25 20:05:48,Left
2024-02-25 20:05:49,Left
2024-02-25 20:05:50,Straight
2024-02-25 20:05:51,Straight
2024-02-25 20:05:52,Straight
2024-02-25 20:05:53,Straight
2024-02-25 20:05:54,Left
2024-02-25 20:05:55,Left
2024-02-25 20:05:56,Straight
2024-02-25 20:05:57,Straight
2024-02-25 20:05:58,Straight
2024-02-25 20:05:59,Straight
2024-02-25 20:06:00,Straight
2024-02-25 20:06:01,Straight
2024-02-25 20:06:02,Straight
2024-02-25 20:06:03,Straight
2024-02-25 20:06:04,Straight
2024-02-25 20:06:05,Straight
2024-02-25 20:06:06,Straight
2024-02-25 20:06:07,Straight
2024-02-25 20:06:08,Left
2024-02-25 20:06:09,Straight
2024-02-25 20:06:10,Straight
2024-02-25 20:06:11,Straight
2024-02-25 20:06:12,Left
2024-02-25 20:06:13,Straight
2024-02-25 20:06:14,Straight
2024-02-25 20:06:15,Straight
2024-02-25 20:06:16,Straight
2024-02-25 20:06:17,Left
2024-02-25 20:06:18,Straight
2024-02-25 20:06:19,Straight
2024-02-25 20:06:20,Right
2024-02-25 20:06:21,Left
2024-02-25 20:06:22,Straight
2024-02-25 20:06:23,Straight
2024-02-25 20:06:24,Left
2024-02-25 20:06:25,Right
2024-02-25 20:06:26,Straight
2024-02-25 20:06:27,Right
2024-02-25 20:06:28,Left
2024-02-25 20:06:29,Left
2024-02-25 20:06:30,Straight
2024-02-25 20:06:31,Left
2024-02-25 20:06:32,Straight
2024-02-25 20:06:33,Left
2024-02-25 20:06:34,Left
2024-02-25 20:06:35,Straight
2024-02-25 20:06:36,Right
2024-02-25 20:06:37,Straight
2024-02-25 20:06:38,Straight
2024-02-25 20:06:39,Straight
2024-02-25 20:06:40,Straight
2024-02-25 20:06:41,Straight
2024-02-25 20:06:42,Straight
2024-02-25 20:06:43,Left
2024-02-25 20:06:44,Left
2024-02-25 20:06:45,Left
2024-02-25 20:06:46,Straight
2024-02-25 20:06:47,Left
2024-02-25 20:06:48,Left
2024-02-25 20:06:49,Straight
2024-02-25 20:06:50,Straight
2024-02-25 20:06:51,Straight
2024-02-25 20:06:52,Straight
2024-02-25 20:06:53,Straight
2024-02-25 20:06:54,Straight
2024-02-25 20:06:55,Straight
2024-02-25 20:06:56,Straight
2024-02-25 20:06:57,Straight
2024-02-25 20:06:58,Straight
2024-02-25 20:06:59,Straight
2024-02-25 20:07:00,Straight
2024-02-25 20:07:01,Straight
2024-02-25 20:07:02,Left
2024-02-25 20:07:03,Left
2024-02-25 20:07:04,Left
2024-02-25 20:07:05,Straight
2024-02-25 20:07:06,Straight
2024-02-25 20:07:07,Left
2024-02-25 20:07:08,Left
2024-02-25 20:07:09,Right
2024-02-25 20:07:10,Left
2024-02-25 20:07:11,Straight
2024-02-25 20:07:12,Straight
2024-02-25 20:07:13,Straight
2024-02-25 20:07:14,Straight
2024-02-25 20:07:15,Left
2024-02-25 20:07:16,Straight
2024-02-25 20:07:17,Straight
2024-02-25 20:07:18,Left
2024-02-25 20:07:19,Straight
2024-02-25 20:07:20,Straight
2024-02-25 20:07:21,Straight
2024-02-25 20:07:22,Straight
2024-02-25 20:07:23,Right
2024-02-25 20:07:24,Straight
2024-02-25 20:07:25,Straight
2024-02-25 20:07:26,Right
2024-02-25 20:07:27,Right
2024-02-25 20:07:28,Straight
2024-02-25 20:07:29,Left
2024-02-25 20:07:30,Right
2024-02-25 20:07:31,Straight
2024-02-25 20:07:32,Straight
2024-02-25 20:07:33,Straight
2024-02-25 20:07:34,Straight
2024-02-25 20:07:35,Straight
2024-02-25 20:07:36,Straight
2024-02-25 20:07:37,Left
2024-02-25 20:07:38,Left
2024-02-25 20:07:39,Straight
2024-02-25 20:07:40,Straight
2024-02-25 20:07:41,Straight
2024-02-25 20:07:42,Right
2024-02-25 20:07:43,Straight
2024-02-25 20:07:44,Right
2024-02-25 20:07:45,Right
2024-02-25 20:07:46,Straight
2024-02-25 20:07:47,Straight
2024-02-25 20:07:48,Straight
2024-02-25 20:07:49,Straight
2024-02-25 20:07:50,Right
2024-02-25 20:07:51,Right
2024-02-25 20:07:52,Left
2024-02-25 20:07:53,Straight
2024-02-25 20:07:54,Straight
2024-02-25 20:07:55,Straight
2024-02-25 20:07:56,Straight
2024-02-25 20:07:57,Straight
2024-02-25 20:07:58,Straight
2024-02-25 20:07:59,Straight
2024-02-25 20:08:00,Straight
2024-02-25 20:08:01,Straight
2024-02-25 20:08:02,Straight
2024-02-25 20:08:03,Straight
2024-02-25 20:08:04,Straight
2024-02-25 20:08:05,Straight
2024-02-25 20:08:06,Straight
2024-02-25 20:08:07,Left
2024-02-25 20:08:08,Straight
2024-02-25 20:08:09,Straight
2024-02-25 20:08:10,Straight
2024-02-25 20:08:11,Straight
2024-02-25 20:08:12,Straight
2024-02-25 20:08:13,Straight
2024-02-25 20:08:14,Straight
2024-02-25 20:08:15,Left
2024-02-25 20:08:16,Straight
2024-02-25 20:08:17,Straight
2024-02-25 20:08:18,Straight
2024-02-25 20:08:19,Left
2024-02-25 20:08:20,Straight
2024-02-25 20:08:21,Straight
2024-02-25 20:08:22,Straight
2024-02-25 20:08:23,Straight
2024-02-25 20:08:24,Straight
2024-02-25 20:08:25,Left
2024-02-25 20:08:26,Left
2024-02-25 20:08:27,Straight
2024-02-25 20:08:28,Straight
2024-02-25 20:08:29,Straight
2024-02-25 20:08:30,Straight
2024-02-25 20:08:31,Left
2024-02-25 20:08:32,Straight
2024-02-25 20:08:33,Straight
2024-02-25 20:08:34,Straight
2024-02-25 20:08:35,Right
2024-02-25 20:08:36,Right
2024-02-25 20:08:37,Left
2024-02-25 20:08:38,Left
2024-02-25 20:08:39,Straight
2024-02-25 20:08:40,Left
2024-02-25 20:08:41,Left
2024-02-25 20:08:42,Straight
2024-02-25 20:08:43,Straight
2024-02-25 20:08:44,Straight
2024-02-25 20:08:45,Straight
2024-02-25 20:08:46,Straight
2024-02-25 20:08:47,Left
2024-02-25 20:08:48,Down
2024-02-25 20:08:49,Down
2024-02-25 20:09:35,Left
2024-02-25 20:09:36,Left
2024-02-25 20:09:37,Left
2024-02-25 20:09:38,Left
2024-02-25 20:09:39,Straight
2024-02-25 20:09:40,Left
2024-02-25 20:09:41,Left
2024-02-25 20:09:42,Left
2024-02-25 20:09:43,Left
2024-02-25 20:09:44,Straight
2024-02-25 20:09:45,Straight
2024-02-25 20:09:46,Left
2024-02-25 20:09:47,Straight
2024-02-25 20:09:48,Left
2024-02-25 20:09:49,Straight
2024-02-25 20:09:50,Left
2024-02-25 20:09:51,Straight
2024-02-25 20:09:52,Straight
2024-02-25 20:09:53,Left
2024-02-25 20:09:54,Straight
2024-02-25 20:09:55,Straight
2024-02-25 20:09:56,Straight
2024-02-25 20:09:57,Left
2024-02-25 20:09:58,Left
2024-02-25 20:09:59,Left
2024-02-25 20:10:00,Left
2024-02-25 20:10:01,Left
2024-02-25 20:10:02,Left
2024-02-25 20:10:03,Left
2024-02-25 20:10:04,Left
2024-02-25 20:10:05,Left
2024-02-25 20:10:06,Left
2024-02-25 20:10:07,Left
2024-02-25 20:10:08,Straight
2024-02-25 20:10:09,Left
2024-02-25 20:10:10,Straight
2024-02-25 20:10:11,Straight
2024-02-25 20:10:12,Straight
2024-02-25 20:10:13,Right
2024-02-25 20:10:14,Straight
2024-02-25 20:10:15,Left
2024-02-25 20:10:16,Straight
2024-02-25 20:10:17,Straight
2024-02-25 20:10:18,Left
2024-02-25 20:10:19,Right
2024-02-25 20:10:20,Right
2024-02-25 20:10:21,Right
2024-02-25 20:10:22,Straight
2024-02-25 20:10:23,Straight
2024-02-25 20:10:24,Right
2024-02-25 20:10:25,Left
2024-02-25 20:10:26,Left
2024-02-25 20:10:27,Right
2024-02-25 20:10:28,Straight
2024-02-25 20:10:29,Straight
2024-02-25 20:10:30,Straight
2024-02-25 20:10:31,Straight
2024-02-25 20:10:32,Right
2024-02-25 20:10:33,Left
2024-02-25 20:10:34,Straight
2024-02-25 20:10:35,Left
2024-02-25 20:10:36,Straight
2024-02-25 20:10:37,Straight
2024-02-25 20:10:38,Left
2024-02-25 20:10:39,Left
2024-02-25 20:10:40,Left
2024-02-25 20:10:41,Straight
2024-02-25 20:10:42,Left
2024-02-25 20:10:43,Left
2024-02-25 20:10:44,Straight
2024-02-25 20:10:45,Left
2024-02-25 20:10:46,Left
2024-02-25 20:10:47,Left
2024-02-25 20:10:48,Left
2024-02-25 20:10:49,Left
2024-02-25 20:10:50,Left
2024-02-25 20:10:51,Left
2024-02-25 20:10:52,Straight
2024-02-25 20:10:53,Left
2024-02-25 20:10:54,Straight
2024-02-25 20:10:55,Left
2024-02-25 20:10:56,Right
2024-02-25 20:10:57,Left
2024-02-25 20:10:58,Left
2024-02-25 20:10:59,Straight
2024-02-25 20:11:00,Left
2024-02-25 20:11:01,Left
2024-02-25 20:11:02,Left
2024-02-25 20:11:03,Left
2024-02-25 20:11:04,Left
2024-02-25 20:11:05,Straight
2024-02-25 20:11:06,Straight
2024-02-25 20:11:07,Straight
2024-02-25 20:11:08,Left
2024-02-25 20:11:09,Straight
2024-02-25 20:11:10,Straight
2024-02-25 20:11:11,Left
2024-02-25 20:11:12,Left
2024-02-25 20:11:13,Straight
2024-02-25 20:11:14,Straight
2024-02-25 20:11:15,Left
2024-02-25 20:11:16,Left
2024-02-25 20:11:17,Straight
2024-02-25 20:11:18,Left
2024-02-25 20:11:19,Left
2024-02-25 20:11:20,Straight
2024-02-25 20:11:21,Left
2024-02-25 20:11:22,Straight
2024-02-25 20:11:23,Straight
2024-02-25 20:11:24,Left
2024-02-25 20:11:25,Left
2024-02-25 20:11:26,Left
2024-02-25 20:11:27,Straight
2024-02-25 20:11:28,Straight
2024-02-25 20:11:29,Straight
2024-02-25 20:11:30,Straight
2024-02-25 20:11:31,Straight
2024-02-25 20:11:32,Straight
2024-02-25 20:11:33,Straight
2024-02-25 20:11:34,Straight
2024-02-25 20:11:35,Straight
2024-02-25 20:11:36,Straight
2024-02-25 20:11:37,Straight
2024-02-25 20:11:38,Straight
2024-02-25 20:11:39,Straight
2024-02-25 20:11:40,Straight
2024-02-25 20:11:41,Straight
2024-02-25 20:11:42,Straight
2024-02-25 20:11:43,Straight
2024-02-25 20:11:44,Straight
2024-02-25 20:11:45,Left
2024-02-25 20:11:46,Left
2024-02-25 20:11:47,Straight
2024-02-25 20:11:48,Straight
2024-02-25 20:11:49,Straight
2024-02-25 20:11:50,Straight
2024-02-25 20:11:51,Straight
2024-02-25 20:11:52,Straight
2024-02-25 20:11:53,Straight
2024-02-25 20:11:54,Straight
