,Mouth
2024-02-25 15:57:20,Talking
2024-02-25 15:57:23,Talking
2024-02-25 15:57:26,Talking
2024-02-25 15:57:29,Talking
2024-02-25 15:57:32,Talking
2024-02-25 15:57:35,Talking
2024-02-25 15:57:38,Talking
2024-02-25 15:57:41,Talking
2024-02-25 15:57:44,Talking
2024-02-25 15:57:47,Talking
2024-02-25 15:57:50,Talking
2024-02-25 15:57:53,Talking
2024-02-25 15:57:56,Talking
2024-02-25 15:57:59,Talking
2024-02-25 15:58:02,Talking
2024-02-25 15:58:05,Talking
2024-02-25 15:58:08,Talking
2024-02-25 15:58:11,Talking
2024-02-25 15:58:14,Talking
2024-02-25 15:58:17,Talking
2024-02-25 15:58:20,Talking
2024-02-25 15:58:23,Talking
2024-02-25 15:58:26,Talking
2024-02-25 15:58:29,Talking
2024-02-25 15:58:32,Talking
2024-02-25 15:58:35,Talking
2024-02-25 15:58:38,Talking
2024-02-25 15:58:41,Talking
2024-02-25 15:58:44,Talking
2024-02-25 15:58:47,Talking
2024-02-25 15:58:50,Talking
2024-02-25 15:58:53,Talking
2024-02-25 15:58:56,Talking
2024-02-25 15:58:59,Talking
2024-02-25 15:59:02,Talking
2024-02-25 15:59:05,Talking
2024-02-25 15:59:08,Talking
2024-02-25 15:59:11,Talking
2024-02-25 15:59:14,Talking
2024-02-25 15:59:17,Talking
2024-02-25 15:59:20,Talking
2024-02-25 15:59:23,Talking
2024-02-25 15:59:26,Talking
2024-02-25 15:59:29,Talking
2024-02-25 15:59:32,Talking
2024-02-25 15:59:35,Talking
2024-02-25 15:59:38,Talking
2024-02-25 15:59:41,Closed
2024-02-25 15:59:44,Talking
2024-02-25 15:59:47,Talking
2024-02-25 15:59:50,Talking
2024-02-25 15:59:53,Talking
2024-02-25 15:59:56,Talking
2024-02-25 15:59:59,Talking
2024-02-25 16:00:02,Talking
2024-02-25 16:00:05,Talking
2024-02-25 16:00:08,Talking
2024-02-25 16:00:11,Talking
2024-02-25 16:00:14,Talking
2024-02-25 16:00:17,Talking
2024-02-25 16:00:20,Talking
2024-02-25 16:00:23,Talking
2024-02-25 16:00:26,Talking
2024-02-25 16:00:29,Talking
2024-02-25 16:00:32,Talking
2024-02-25 16:00:35,Talking
2024-02-25 16:00:38,Talking
2024-02-25 16:00:41,Talking
2024-02-25 16:00:44,Talking
2024-02-25 16:00:47,Talking
2024-02-25 16:00:50,Talking
2024-02-25 16:00:53,Talking
2024-02-25 16:00:56,Talking
2024-02-25 16:00:59,Talking
2024-02-25 16:01:02,Talking
2024-02-25 16:01:05,Talking
2024-02-25 16:01:08,Talking
2024-02-25 16:01:11,Talking
2024-02-25 16:01:14,Talking
2024-02-25 16:01:17,Talking
2024-02-25 16:01:20,Talking
2024-02-25 16:01:23,Talking
2024-02-25 16:01:26,Talking
2024-02-25 16:01:29,Talking
2024-02-25 16:01:32,Talking
2024-02-25 16:01:35,Talking
2024-02-25 16:01:38,Talking
2024-02-25 16:01:41,Talking
2024-02-25 16:01:44,Talking
2024-02-25 16:01:47,Talking
2024-02-25 16:01:50,Talking
2024-02-25 16:01:53,Talking
2024-02-25 16:01:56,Talking
2024-02-25 16:01:59,Talking
2024-02-25 16:02:02,Talking
2024-02-25 16:02:05,Talking
2024-02-25 16:02:08,Talking
2024-02-25 16:02:11,Talking
2024-02-25 16:02:14,Talking
2024-02-25 16:02:17,Talking
2024-02-25 16:02:20,Talking
2024-02-25 16:02:23,Talking
2024-02-25 16:02:26,Talking
2024-02-25 16:02:29,Talking
2024-02-25 16:02:32,Talking
2024-02-25 16:02:35,Talking
2024-02-25 16:02:38,Talking
2024-02-25 16:02:41,Talking
2024-02-25 16:02:44,Talking
2024-02-25 16:02:47,Talking
2024-02-25 16:02:50,Talking
2024-02-25 16:02:53,Talking
2024-02-25 16:02:56,Talking
2024-02-25 16:02:59,Talking
2024-02-25 16:03:02,Talking
2024-02-25 16:03:05,Talking
2024-02-25 16:03:08,Talking
2024-02-25 16:03:11,Talking
2024-02-25 16:03:14,Talking
2024-02-25 16:03:17,Talking
2024-02-25 16:03:20,Talking
2024-02-25 16:03:23,Talking
2024-02-25 16:03:26,Talking
2024-02-25 16:03:29,Talking
2024-02-25 16:03:32,Talking
2024-02-25 16:03:35,Talking
2024-02-25 16:03:38,Talking
2024-02-25 16:03:41,Talking
2024-02-25 16:03:44,Talking
2024-02-25 16:03:47,Talking
2024-02-25 16:03:50,Talking
2024-02-25 16:03:53,Talking
2024-02-25 16:03:56,Talking
2024-02-25 16:03:59,Talking
2024-02-25 16:04:02,Talking
2024-02-25 16:04:05,Talking
2024-02-25 16:04:08,Talking
2024-02-25 16:04:11,Talking
2024-02-25 16:04:14,Talking
2024-02-25 16:04:17,Talking
2024-02-25 16:04:20,Talking
2024-02-25 16:04:23,Talking
2024-02-25 16:04:26,Talking
2024-02-25 16:04:29,Talking
2024-02-25 16:04:32,Talking
2024-02-25 16:04:35,Talking
2024-02-25 16:04:38,Talking
2024-02-25 16:04:41,Talking
2024-02-25 16:04:44,Talking
2024-02-25 16:04:47,Talking
2024-02-25 16:04:50,Talking
2024-02-25 16:04:53,Talking
2024-02-25 16:04:56,Talking
2024-02-25 16:04:59,Talking
2024-02-25 16:05:02,Talking
2024-02-25 16:05:05,Talking
2024-02-25 16:05:08,Talking
2024-02-25 16:05:11,Talking
2024-02-25 16:05:14,Talking
2024-02-25 16:05:17,Talking
2024-02-25 16:05:20,Talking
2024-02-25 16:05:23,Talking
2024-02-25 16:05:26,Talking
2024-02-25 16:05:29,Talking
2024-02-25 16:05:32,Talking
2024-02-25 16:05:35,Talking
2024-02-25 16:05:38,Talking
2024-02-25 16:05:41,Talking
2024-02-25 16:05:44,Talking
2024-02-25 16:05:47,Talking
2024-02-25 16:05:50,Talking
2024-02-25 16:05:53,Talking
2024-02-25 16:05:56,Talking
2024-02-25 16:05:59,Talking
2024-02-25 16:06:02,Talking
2024-02-25 16:06:05,Talking
2024-02-25 16:06:08,Talking
2024-02-25 16:06:11,Talking
2024-02-25 16:06:14,Talking
2024-02-25 16:06:17,Talking
2024-02-25 16:06:20,Talking
2024-02-25 16:06:23,Talking
2024-02-25 16:06:26,Talking
2024-02-25 16:06:29,Talking
2024-02-25 16:06:32,Talking
2024-02-25 16:06:35,Talking
2024-02-25 16:06:38,Talking
2024-02-25 16:06:41,Talking
2024-02-25 16:06:44,Talking
2024-02-25 16:06:47,Talking
2024-02-25 16:06:50,Talking
2024-02-25 16:06:53,Talking
2024-02-25 16:06:56,Talking
2024-02-25 16:06:59,Talking
2024-02-25 16:07:02,Talking
2024-02-25 16:07:05,Talking
2024-02-25 16:07:08,Talking
2024-02-25 16:07:11,Talking
2024-02-25 16:07:14,Talking
2024-02-25 16:07:17,Talking
2024-02-25 16:07:20,Talking
2024-02-25 16:07:23,Talking
2024-02-25 16:07:26,Talking
2024-02-25 16:07:29,Talking
2024-02-25 16:07:32,Talking
2024-02-25 16:07:35,Talking
2024-02-25 16:07:38,Talking
2024-02-25 16:07:41,Talking
2024-02-25 16:07:44,Talking
2024-02-25 16:07:47,Talking
2024-02-25 16:07:50,Talking
2024-02-25 16:07:53,Talking
2024-02-25 16:07:56,Talking
2024-02-25 16:07:59,Talking
2024-02-25 16:08:02,Talking
2024-02-25 16:08:05,Talking
2024-02-25 16:08:08,Talking
2024-02-25 16:08:11,Talking
2024-02-25 16:08:14,Talking
2024-02-25 16:08:17,Talking
2024-02-25 16:08:20,Talking
2024-02-25 16:08:23,Talking
2024-02-25 16:08:26,Talking
2024-02-25 16:08:29,Talking
2024-02-25 16:08:32,Talking
2024-02-25 16:08:35,Talking
2024-02-25 16:08:38,Talking
2024-02-25 16:08:41,Talking
2024-02-25 16:08:44,Talking
2024-02-25 16:08:47,Talking
2024-02-25 16:08:50,Talking
2024-02-25 16:08:53,Talking
2024-02-25 16:08:56,Talking
2024-02-25 16:08:59,Talking
2024-02-25 16:09:02,Talking
2024-02-25 16:09:05,Talking
2024-02-25 16:09:08,Talking
2024-02-25 16:09:11,Talking
2024-02-25 16:09:14,Talking
2024-02-25 16:09:17,Talking
2024-02-25 16:09:20,Talking
2024-02-25 16:09:23,Talking
2024-02-25 16:09:26,Talking
2024-02-25 16:09:29,Talking
2024-02-25 16:09:32,Talking
2024-02-25 16:09:35,Talking
2024-02-25 16:09:38,Talking
2024-02-25 16:09:41,Talking
2024-02-25 16:09:44,Talking
2024-02-25 16:09:47,Talking
2024-02-25 16:09:50,Talking
2024-02-25 16:09:53,Talking
2024-02-25 16:09:56,Talking
2024-02-25 16:09:59,Talking
2024-02-25 16:10:02,Talking
2024-02-25 16:10:05,Talking
2024-02-25 16:10:08,Talking
2024-02-25 16:10:11,Talking
2024-02-25 16:10:14,Talking
2024-02-25 16:10:17,Talking
2024-02-25 16:10:20,Talking
2024-02-25 16:10:23,Talking
2024-02-25 16:10:26,Talking
2024-02-25 16:10:29,Talking
2024-02-25 16:10:32,Talking
2024-02-25 16:10:35,Talking
2024-02-25 16:10:38,Talking
2024-02-25 16:10:41,Talking
2024-02-25 16:10:44,Talking
2024-02-25 16:10:47,Talking
2024-02-25 16:10:50,Talking
2024-02-25 16:10:53,Talking
2024-02-25 16:10:56,Talking
2024-02-25 16:10:59,Talking
2024-02-25 16:11:02,Talking
2024-02-25 16:11:05,Talking
